fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
Collection,Collection_Description,File_Name,Identifier,Title,Personal_Name,Corporate_Name,Role,Subject_Topic,Subject_Personal_Name,Subject_Corporate_Name,Location,Time_Period,Date_Created,Date_Issued,Publisher,Place_of_Publication,Description,Note,Type,Genre,Form,Extent,Language,Related_Resource,Rights,Owning_Institution,Digital_Format,Digital_Origin
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3057-005.tif,701-151-005-3057-005,Welcoming of general Sikorski in the Polish Army camp in Taliszczewo.,,,Author,World War (1939-1945),"Okulicki, Leopold;Sikorski, Władysław;Anders, Władysław;Wyszynski, Andriej;Kot, Stanisław",,Taliszczewo,1939/1945,1941-12-14,1941,,,"From the right: Polish ambassador in the Soviet Union Stanisław Kot, general Władysław Sikorski, behind him colonel Okulicki, general Władysław Anders, Andriej Wyszynski Soviet vice-commisar for Foreign Affairs",,still image,photographs,black-and-white photographs,19x25 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3057-010.tif,701-151-005-3057-010,"General Władysław Sikorski, Polish Premier, chats with infantrymen of the new Polish army in exile",,,Author,World War II (1939-1945),"Sikorski, Władysław;Tokarzewski-Karaszewicz, Michał",Poland. Polskie Siły Zbrojne. 6 Dywizja Piechoty,,1939/1945,1941,1941,"Republic of Poland, Ministry of Information, Photo Service",,,Note on the back: 6.D.P (gen Tokarzewski),still image,photographs,black-and-white photographs,12x17 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3057-014.tif,701-151-005-3057-014,"General Sikorski in Russia, talking to the polish A.T.S.",,,Author,World War (1939-1945),"Sikorski, Władysław",Poland. Auxiliary Territorial Service,,1939/1945,1941,1941,"Republic of Poland, Ministry of Information",,,A.T.T to Auxiliary Territorial Service,still image,photographs,black-and-white photographs,14x19 cm,,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3061-001.tif,701-151-005-3061-001,The military command of Polish Army in the Soviet Union,,,Author,World War (1939-1945),"Anders, Władysław;Okulicki, Leopold",,,1939/1945,1941,1941,"Republic of Poland, Ministry of Information, Photo Service","Mumbai, India","General Anders signs papers, with colonel Okulicki standing nearby.",,still image,photographs,black-and-white photographs,13x18 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4949-001.tif,701-151-005-4949-001,Polish children before transport to India,,,Author,World War II (1939-1945);Children and war,,,,1939/1945,1942,1942,"Polish Red Cross Delegate, Bombay",#REF!,,,still image,photographs,black-and-white photographs,12x12 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",,#VALUE!,Test Title in English,"Smith, John;Kowalski, Antoni",Author-company,Author,World War (1939-1945),"Sosnkowski, Kazimierz;Abamowicz, Konstanty",Polish Combatants' Association (United States);Poland. Wojsko Polskie,Gdynia;Warsaw,1939/1945,1941-05-12,1942,Polish Information Agency,,Description of the image in English,Notatka / Note;Accepted by censor for distribution,still image,photographs,black-and-white photographs,12x33 cm,,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2464-001.tif,701-151-005-2464-001,German artillery at the port,,,Author,Artillery;World War (1939-1945),Bogusławski,,Gdynia,1939/1945,1939,1942-08-10,Polish Information Center,,German artillery shelling the harbor in Gdynia.,Delegat wojskowy do spraw propagandy i cenzor wojskowy.;Polish Army G.H.Q. Chief Censor;Numbers on the back: 658 - 1937 - 36,still image,photographs,black-and-white photographs,9x12 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2505-001.tif,701-151-005-2505-001,Camp for the Polish and French soldiers,,,Author,Training camp;World War (1939-1945);French camp,,,,1939/1945,,,,,The Polish army in a training camp somewhere in France. The French and Polish flags fly at the entrance of the camp.,Authorized by censorship for France and export.;Marked: 42 I,still image,photographs,black-and-white photographs,24x18 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2484-001.tif,701-151-005-2484-001,Civilian Evacuation,,,Author,World War (1939-1945);Evacuation of civilians (1939-1945 : World War),,,,1939/1945,1939-09-01,,,,The towns were filled with civilian automobiles that were escaping to the south with everything they owned.,Marked: 60% P-3A,still image,photographs,black-and-white photographs,13x17 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
