,Identifier,Collection_count,Collection_Description_count,Title_count,Personal_Name_count,Corporate_Name_count,Role_count,Description_count,Note_count,Type_count,Genre_count,Form_count,Language_count,Rights_count,Owning_Institution_count,Digital_Format_count,Digital_Origin_count,Time_Period_count,File_Name_count,Subject_Topic_count,Subject_Personal_Name_count,Subject_Corporate_Name_count,Location_count,Publisher_count,Place_of_Publication_count,Extent_count,Date_Created_count,Date_Issued_count
0,701-151-005-3057-005,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,0,1,0,0,1,1,1
1,701-151-005-3057-010,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,1,1,1
2,701-151-005-3057-014,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
3,701-151-005-3061-001,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1
4,701-151-005-4949-001,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1
6,701-151-005-2464-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1
7,701-151-005-2505-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,1,0,0
8,701-151-005-2484-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0
9,701-151-005-2487-001,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0
10,701-151-005-2579-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,1,1,1,0,2,1,0
11,701-151-005-2486-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,1,1,0
12,701-151-005-2480-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,1,1,0,1,1,0
13,701-151-005-2472-001,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,3,0,0,1,1,0,1,1,0
14,701-151-005-2573-001,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,4,2,2,1,0,0,1,1,0
15,701-151-005-2574-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,0,4,1,0
16,701-151-005-2597-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,0,0,2,1,0
17,701-151-005-2488-001,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,0,3,1,0
18,701-151-005-2612-001,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0,2,1,0
19,701-151-005-2512-001,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1
20,701-151-005-2534-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,0,1,0,1
21,701-151-005-2617-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,1,0,1,0,1,0,0
22,701-151-005-2624-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,5,4,0,1,1,1,0,5,0,0
23,701-151-005-2618-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,0,0,1,0,0,1,0,0
24,701-151-005-2619-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,0,1,0,0
25,701-151-005-2656-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,0,1,0,1,0,2,0,0
26,701-151-005-2855-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,3,1,0,0,1,0,1
27,701-151-005-2683-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,4,1,1,1,0,2,0,1
28,701-151-005-2577-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,4,1,1,0,0,1,0,1
29,701-151-005-2621-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,8,0,1,0,1,0,1,0,0
30,701-151-005-2661-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,0,1,1,0,0,2,0,0
31,701-151-005-2651-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,0,1,1,0,0,1,0,0
32,701-151-005-2648-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,0,1,0,1,0,1,0,0
33,701-151-005-2573-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,2,2,1,0,0,1,0,1
34,701-151-005-2632-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,2,4,0,1,1,0,0,2,0,1
35,701-151-005-2633-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,3,0,1,0,0,0,1,0,0
